,index,Movie,P_Genre,S_Genre,T_Genre,Cluster_Id
0,0,bodies bodies bodies,8,15,4,131
1,1,last night in soho,6,15,3,56
2,2,the munsters,8,9,13,18
3,3,orphan: first kill,5,6,16,74
4,4,resident evil: welcome to raccoon city,4,15,15,48
5,5,crimes of the future,6,15,15,11
6,6,men,6,12,16,36
7,7,morbius,4,11,16,58
8,8,day shift,4,10,13,111
9,9,malnazidos,4,11,13,4
10,10,watcher,6,15,4,6
11,11,orphan,11,3,4,5
12,12,midsommar,6,15,3,56
13,13,american psycho,5,6,16,74
14,14,old,6,15,3,56
15,15,scream,11,3,4,5
16,16,mad god,12,12,16,135
17,17,srpski film,11,3,4,5
18,18,get out,11,3,4,5
19,19,hellboy,4,11,13,4
20,20,the mist,11,14,4,69
21,21,overlord,4,15,15,48
22,22,fresh,8,15,4,131
23,23,hocus pocus 2,8,9,13,18
24,24,hereditary,6,15,3,56
25,25,spree,4,10,5,2
26,26,the mortal instruments: city of bones,4,11,13,4
27,27,resident evil,4,15,15,48
28,28,prey,4,6,16,107
29,29,it chapter two,6,12,16,36
30,30,the conjuring,11,3,4,5
31,31,scream 6,11,3,4,5
32,32,us,11,3,4,5
33,33,fear street: 1994,6,15,3,56
34,34,alien: covenant,11,14,4,69
35,35,the thing,11,3,15,33
36,36,the vvitch: a new-england folktale,6,12,16,36
37,37,annihilation,9,6,16,85
38,38,the deadly mantis,7,15,15,42
39,39,fear street: 1978,6,15,3,56
40,40,the shallows,4,6,16,107
41,41,beast,9,6,16,85
42,42,sinister,11,3,4,5
43,43,the cabin in the woods,11,3,4,5
44,44,a quiet place part ii,6,15,15,11
45,45,hocus pocus,8,9,13,18
46,46,the meg,4,15,15,48
47,47,the mummy,4,11,13,4
48,48,sweeney todd: the demon barber of fleet street,6,15,6,177
49,49,mother!,6,15,3,56
50,50,underwater,4,15,15,48
51,51,a quiet place,6,15,15,11
52,52,predator,4,11,16,58
53,53,the hunt,4,15,4,109
54,54,the lighthouse,6,12,16,36
55,55,lamb,6,12,16,36
56,56,firestarter,6,15,15,11
57,57,interview with the vampire: the vampire chronicles,6,12,16,36
58,58,resurrection,5,6,16,74
59,59,the empty man,11,3,4,5
60,60,suspiria,6,12,16,36
61,61,bone tomahawk,6,15,8,133
62,62,ready or not,4,10,16,98
63,63,from dusk till dawn,4,5,16,127
64,64,psycho,11,3,4,5
65,65,texas chainsaw massacre,5,15,4,124
66,66,de uskyldige,6,12,16,36
67,67,jeepers creepers: reborn,11,3,4,5
68,68,army of the dead,4,5,16,127
69,69,doctor sleep,6,12,16,36
70,70,brightburn,6,15,3,56
